judul_lagu,artis,genre,valence,energy,danceability,tempo,acousticness,popularity,genre_utama,mood,tokens,cluster
Nella Fantasia,Katherine Jenkins;Choir of The King's Consort;Philharmonia Orchestra;Nicholas Dodd,opera,0.081,0.223,0.165,91.495,0.973,50,Classical & Ambient,Sad,nella fantasia,1
Love Minus Zéro / No Limit,Nana Mouskouri,opera,0.55,0.268,0.532,99.282,0.819,24,Classical & Ambient,Romantic,love minus zero limit,1
Kanada Raja Pandharicha,Rahul Deshpande;Jayateerth Mevundi;Bhuvanesh Komkali,classical,0.589,0.708,0.396,105.094,0.688,30,Classical & Ambient,Energetic,kanada raja pandharicha,1
"Piano Sonata No. 3 in B-Flat Major, K. 281: II. Andante amoroso",Wolfgang Amadeus Mozart;Mao Fujita,classical,0.367,0.0334,0.4,94.362,0.993,16,Classical & Ambient,Sad,piano sonata flat major ii andante amoroso,1
Greater is the Blood,Mark & Sarah Tillman,ambient,0.237,0.643,0.542,135.921,0.0954,47,Classical & Ambient,Groovy,greater blood,1
The Narrow Path,Simon Wester,ambient,0.0391,0.0709,0.167,111.917,0.967,39,Classical & Ambient,Sad,narrow path,1
"Rigoletto / Act 1: ""Gualtier Maldè...Caro nome""",Giuseppe Verdi;Dame Joan Sutherland;Riccardo Cassinelli;John Gibbs;Christian Du Plessis;Ambrosian Opera Chorus;London Symphony Orchestra;Richard Bonynge,opera,0.0399,0.0638,0.272,167.99,0.983,24,Classical & Ambient,Sad,rigoletto act gualtier malde caro nome,1
"Variations on ""Là ci darem la mano"" from Mozart's Don Giovanni, Op. 2: Coda. Alla Polacca - Live",Frédéric Chopin;Bruce Liu,classical,0.292,0.204,0.323,110.262,0.985,0,Classical & Ambient,Sad,variations la ci darem la mano mozart don giovanni op coda alla polacca live,1
"Symphony No. 5 In B Flat Major, K.22: 3. Allegro molto",Wolfgang Amadeus Mozart;RIAS Symphony Orchestra Berlin;Ferenc Fricsay,classical,0.948,0.372,0.386,143.732,0.827,14,Classical & Ambient,Calm,symphony flat major allegro molto,1
Fuori Dal Mondo - Remastered 2020,Ludovico Einaudi;Franco Feruglio;Mauro Loguercio;Gabriele Baffero;Antonello Leofreddi;Marco Decimo,ambient,0.0572,0.134,0.118,82.743,0.673,52,Classical & Ambient,Sad,fuori dal mondo remastered,1
The Earth Prelude,Ludovico Einaudi,ambient,0.043,0.0319,0.221,80.491,0.989,52,Classical & Ambient,Sad,earth prelude,1
"Verdi: Aida, Act 2: ""Vieni, o guerriero vindice"" (Coro)","Giuseppe Verdi;Riccardo Muti;Chorus of the Royal Opera House, Covent Garden;New Philharmonia Orchestra",opera,0.467,0.35,0.204,74.563,0.961,23,Classical & Ambient,Romantic,verdi aida act vieni guerriero vindice coro,1
Viva Olympia - Live,André Rieu;Johann Strauss Orchestra,opera,0.528,0.884,0.397,135.16,0.708,20,Classical & Ambient,Energetic,viva olympia live,1
I Know Him So Well,Elaine Paige;Barbara Dickson,opera,0.131,0.211,0.423,138.61,0.82,52,Classical & Ambient,Sad,know well,1
"Lucia di Lammermoor, Act III: ""Tu che a Dio spiegasti l'ali"" (Edgardo)",Alfredo Kraus;Great Festival Choir and Orchestra;Symphony Orchestra of Madrid;Kurt Sanderling,opera,0.119,0.193,0.234,169.455,0.977,0,Classical & Ambient,Sad,lucia lammermoor act iii tu che dio spiegasti ali edgardo,1
Love In Portofino,Andrea Bocelli,opera,0.358,0.414,0.469,94.878,0.936,48,Classical & Ambient,Melancholic,love portofino,1
Mer de velours,Maxence Cyrin,ambient,0.0373,0.232,0.347,128.317,0.984,0,Classical & Ambient,Sad,mer de velours,1
"Les pêcheurs de perles, Act I: “Ni Por D Uir Encore“ (Nadir)",Alfredo Kraus;Symphony Orchestra of Madrid;Kurt Sanderling,opera,0.15,0.178,0.147,78.305,0.981,0,Classical & Ambient,Sad,les pecheurs de perles act ni por uir encore nadir,1
"Porz Goret (Bruel & Kjaer, Mod. 4006 Version)",Yann Tiersen;Alessandro Simonetto,ambient,0.166,0.00414,0.227,173.674,0.99,18,Classical & Ambient,Sad,porz goret bruel kjaer mod version,1
Wu Wei,De Moi,ambient,0.037,0.0293,0.218,68.836,0.951,61,Classical & Ambient,Sad,wu wei,1
"Christmas Oratorio, BWV 248: X. Sinfonia (Arr. Anna Saradjian)",Johann Sebastian Bach;Lang Lang,classical,0.171,0.059,0.499,82.472,0.995,0,Classical & Ambient,Sad,christmas oratorio bwv sinfonia arr anna saradjian,1
Aas Paas,aswekeepsearching,ambient,0.105,0.48,0.337,120.093,0.406,28,Classical & Ambient,Melancholic,aas paas,1
"Mozart: Piano Concerto No. 20 in D Minor, K. 466: III. Allegro assai",Wolfgang Amadeus Mozart;Daniel Barenboim;Berliner Philharmoniker,classical,0.229,0.159,0.356,71.779,0.984,24,Classical & Ambient,Sad,mozart piano concerto minor iii allegro assai,1
J’ai Zappé,Lara Fabian,opera,0.282,0.662,0.519,91.581,0.215,25,Classical & Ambient,Groovy,jai zappe,1
"Carnaval, Op. 9: No. 1, Préambule (Live in Japan, 2022)",Robert Schumann;Pavel Nersessian,classical,0.246,0.186,0.476,130.197,0.994,0,Classical & Ambient,Sad,carnaval op preambule live japan,1
Radhadhar Madhu Milind,Rahul Deshpande,classical,0.384,0.713,0.506,100.241,0.17,30,Classical & Ambient,Energetic,radhadhar madhu milind,1
Soft Night,Elskavon,ambient,0.0788,0.00248,0.249,73.601,0.994,51,Classical & Ambient,Sad,soft night,1
Weightless Part 4,Marconi Union,ambient,0.0756,0.0318,0.248,130.462,0.926,55,Classical & Ambient,Sad,weightless part,1
Heartland - Extended Version,Celtic Thunder,opera,0.498,0.485,0.526,91.027,0.3,25,Classical & Ambient,Groovy,heartland extended version,1
Emerald and Stone,Brian Eno;Jon Hopkins;Leo Abrahams,ambient,0.0383,0.0379,0.324,120.169,0.987,56,Classical & Ambient,Sad,emerald stone,1
Tu ci sei,Andrea Bocelli,opera,0.147,0.484,0.205,159.797,0.845,20,Classical & Ambient,Melancholic,tu ci sei,1
"Rigoletto, Act II: Ella mi fu rapita! (Duca)",Alfredo Kraus;Symphony Orchestra of Madrid;Kurt Sanderling,opera,0.156,0.252,0.357,113.173,0.972,0,Classical & Ambient,Sad,rigoletto act ii ella mi fu rapita duca,1
"Rigoletto: ""La donna è mobile""",Giuseppe Verdi;Luciano Pavarotti;London Symphony Orchestra;Richard Bonynge,opera,0.363,0.128,0.386,66.187,0.966,56,Classical & Ambient,Sad,rigoletto la donna mobile,1
Amapola - Live,Andrea Bocelli,opera,0.0895,0.499,0.2,146.629,0.854,21,Classical & Ambient,Melancholic,amapola live,1
"Piano Concerto No. 19 in F Major, K. 459: I. Allegro vivace",Wolfgang Amadeus Mozart;Ingrid Haebler;London Symphony Orchestra;Witold Rowicki,classical,0.25,0.115,0.448,72.292,0.993,3,Classical & Ambient,Sad,piano concerto major allegro vivace,1
"Piano Sonata No. 14 in C Minor, K. 457: II. Adagio",Wolfgang Amadeus Mozart;Ingrid Haebler,classical,0.279,0.0223,0.348,67.483,0.994,1,Classical & Ambient,Sad,piano sonata minor ii adagio,1
Forces of Attraction,Jóhann Jóhannsson,ambient,0.403,0.126,0.511,103.997,0.895,60,Classical & Ambient,Romantic,forces attraction,1
"Six German Dances, K.567: No. 2 in E Flat Major",Wolfgang Amadeus Mozart;Wiener Mozart Ensemble;Willi Boskovsky,classical,0.674,0.194,0.37,86.199,0.955,10,Classical & Ambient,Calm,six german dances flat major,1
